Herb,Title,Abstract
vitamin B,Cobalamin level is related to self-reported and clinically rated mood and to syndromal depression in bereaved HIV-1(+) and HIV-1(-) homosexual men - PubMed,"        Objective:                    An examination of the relationship of plasma cobalamin (vitamin B(12)) level to overall psychological distress, specific mood states, and major depressive disorder was conducted in 159 bereaved men (90 HIV-1(+) and 69 HIV-1(-)).                  Methods:                    The relationship of a continuous measure of cobalamin level to psychological distress was examined, while controlling for HIV-1 serostatus, life stressors, social support, and coping styles.                  Results:                    Of this sample, 23.9% were either overtly or marginally cobalamin deficient; however, the deficiency rate was not significantly different by HIV-1 serostatus. Cobalamin level was inversely related to self-reported overall distress level and specifically to depression, anxiety, and confusion subscale scores, as well as to clinically rated depressed and anxious mood. Lower plasma cobalamin levels also were associated with the presence of symptoms consistent with major depressive disorder.                  Conclusion:                    These findings suggest that cobalamin level may be physiologically related to depressed and anxious mood level, as well as to syndromal depression.          "
vitamin B,"Exploring the Effect of Lactium™ and Zizyphus Complex on Sleep Quality: A Double-Blind, Randomized Placebo-Controlled Trial - PubMed","              Acute, non-clinical insomnia is not uncommon. Sufferers commonly turn to short-term use of herbal supplements to alleviate the symptoms. This placebo-controlled, double-blind study investigated the efficacy of LZComplex3 (lactium™, Zizyphus, Humulus lupulus, magnesium and vitamin B6), in otherwise healthy adults with mild insomnia. After a 7-day single-blind placebo run-in, eligible volunteers (n = 171) were randomized (1:1) to receive daily treatment for 2 weeks with LZComplex3 or placebo. Results revealed that sleep quality measured by change in Pittsburgh Sleep Quality Index (PSQI) score improved in both the LZComplex3 and placebo groups. There were no significant between group differences between baseline and endpoint on the primary outcome. The majority of secondary outcomes, which included daytime functioning and physical fatigue, mood and anxiety, cognitive performance, and stress reactivity, showed similar improvements in the LZComplex3 and placebo groups. A similar proportion of participants reported adverse events (AEs) in both groups, with two of four treatment-related AEs in the LZComplex3 group resulting in permanent discontinuation. It currently cannot be concluded that administration of LZComplex3 for 2 weeks improves sleep quality, however, a marked placebo response (despite placebo run-in) and/or short duration of treatment may have masked a potential beneficial effect on sleep quality.          "
vitamin B,"Superiority of magnesium and vitamin B6 over magnesium alone on severe stress in healthy adults with low magnesemia: A randomized, single-blind clinical trial - PubMed","        Introduction:                    Animal and clinical studies suggest complementary effects of magnesium and high-dose pyridoxine (vitamin B6) on stress reduction. This is the first randomized trial evaluating the effects of combined magnesium and vitamin B6 supplementation on stress in a stressed population with low magnesemia using a validated measure of perceived stress.                  Methods:                    In this Phase IV, investigator-blinded trial (EudraCT: 2015-003749-24), healthy adults with Depression Anxiety Stress Scales (DASS-42) stress subscale score >18 and serum magnesium concentration 0.45 mmol/L-0.85 mmol/L, were randomized 1:1 to magnesium-vitamin B6 combination (Magne B6 [Mg-vitamin B6]; daily dose 300 mg and 30 mg, respectively) or magnesium alone (Magnespasmyl [Mg]; daily dose 300 mg). Outcomes included change in DASS-42 stress subscale score from baseline to Week 8 (primary endpoint) and Week 4, and incidence of adverse events (AEs).                  Results:                    In the modified intention-to-treat analysis (N = 264 subjects), both treatment arms substantially reduced DASS-42 stress subscale score from baseline to Week 8 (Mg-vitamin B6, 44.9%; Mg 42.4%); no statistical difference between arms was observed (p>0.05). An interaction (p = 0.0097) between baseline stress level and treatment warranted subgroup analysis (as per statistical plan); adults with severe/extremely severe stress (DASS-42 stress subscale score ≥25; N = 162) had a 24% greater improvement with Mg-vitamin B6 versus Mg at Week 8 (3.16 points, 95% CI 0.50 to 5.82, p = 0.0203). Consistent results were observed in the per protocol analysis and at Week 4. Overall, 12.1% of Mg-vitamin B6 treated and 17.4% of Mg-treated subjects experienced AEs potentially treatment related.                  Conclusions:                    These findings suggest oral Mg supplementation alleviated stress in healthy adults with low magnesemia and the addition of vitamin B6 to Mg was not superior to Mg supplementation alone. With regard to subjects with severe/extremely severe stress, this study provides clinical support for greater benefit of Mg combined with vitamin B6.          "
vitamin B,"The effectiveness of essential fatty acid, B vitamin, Vitamin C, magnesium and zinc supplementation for managing stress in women: a systematic review protocol - PubMed",
vitamin B,"Emotional distress and quality of life during folinic acid, fluorouracil, and oxaliplatin in colorectal cancer patients with and without chemotherapy-induced peripheral neuropathy: A cross-sectional study - PubMed","              When the 5-fluorouracil, leucovorin, and oxaliplatin (FOLFOX) chemotherapy regimen is used to treat colorectal cancer (CRC), chemotherapy-induced peripheral neuropathy (CIPN) caused by oxaliplatin can substantially affect quality of life (QOL) in the CRC patients. This study compared emotional distress and QOL during FOLFOX in CRC patients with and without CIPN symptoms.This cross-sectional, descriptive, and comparative study recruited 68 CRC patients receiving FOLFOX at a local teaching hospital and at a medical center in southern Taiwan. Self-reported structured questionnaires (oxaliplatin-associated neuropathy questionnaire, profile of mood states short form, and the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire, Core 30, version 3.0) were used for 1-time data collection. The Chi-square test, Fisher exact test, and Mann-Whitney U test were used to analyze data, and a P-value < .05 was considered statistically significant.The CIPN group had 45 (66.2%) patients, and the non-CIPN group had 23 (33.8%) patients. The 5 most common symptoms were coldness-related burning sensation or discomfort in the upper limbs, numbness in the upper limbs, tingling in the upper limbs, impairment of vision, and discomfort in the throat. The CIPN group had more females (P = .013), a more advanced stage of CRC (P = .04) and a higher chemotherapy dosage (P = .006). The 2 groups did not significantly differ in anxiety (P = .065) or depression (P = .135). Compared to the non-CIPN group, the CIPN group had significantly lower functioning (P = .001) and global health status (P < .001) and significantly more symptoms (P < .001).The CIPN group had significantly lower QOL compared to the non-CIPN group. However, the CIPN group did not have lower emotional distress compared to the non-CIPN group. The results of this study demonstrate the need for in-service courses specifically designed to train health professionals in assessing and managing CIPN symptoms to improve QOL in CRC patients receiving FOLFOX.          "
vitamin B,A.E. Bennett Research Award. Anatomic basis for differential regulation of the rostrolateral peri-locus coeruleus region by limbic afferents - PubMed,"        Background:                    Neurochemical and electrophysiological studies indicate that the locus coeruleus (LC)-norepinephrine system is activated by physiological and external stressors. This activation is mediated in part by corticotropin-releasing factor (CRF), the hypothalamic neurohormone that initiates the endocrine response to stress. We have previously shown that the central nucleus of the amygdala (CNA) provides CRF afferents to noradrenergic processes in the peri-LC area that may serve to integrate emotional and cognitive responses to stress. The bed nucleus of the stria terminalis (BNST) shares many anatomical and neurochemical characteristics with the CNA, including a high density of CRF-immunoreactive cells and fibers; however, recent studies have suggested that the CNA and the BNST may differentially regulate responses to conditioned and unconditioned fear, respectively, suggesting divergent neuroanatomical circuits underlying these processes.                  Methods:                    In the present study, neuroanatomical substrates subserving regulation of the LC by the BNST were examined. Anterograde tract-tracing was combined with immunoelectron microscopy to test the hypotheses that BNST efferents target noradrenergic neurons of the LC and that these efferents exhibit immunolabeling for CRF.                  Results:                    Ultrastructural analysis of sections that were dually labeled for the anterograde tracer biotinylated dextran amine (BDA) injected into the BNST and tyrosine hydroxylase (TH)-immunoreactivity demonstrated that BDA-labeled axon terminals formed synaptic specializations (primarily inhibitory) with TH-labeled dendrites and dendrites that lacked TH immunoreactivity. In contrast to CNA efferents that exhibited substantial immunolabeling for CRF, far fewer BDA-labeled terminals from the BNST in the rostrolateral peri-LC contained CRF.                  Conclusions:                    The present results indicate that the BNST may provide distinct neurochemical regulation of the peri-LC as compared to other limbic afferents such as the CNA. These data are interesting in light of behavioral studies showing that the CNA and BNST may be differentially involved in fear versus anxiety, respectively.          "
vitamin B,Reversal of behavioral decline and neuropathology by a complex vitamin supplement involves modulation of key neurochemical stressors - PubMed,"              Metal ions are crucial for normal neurochemical signaling and perturbations in their homeostasis have been associated with neurodegenerative processes. Hypothesizing that in vivo modulation of key neurochemical processes including metal ion regulation (by transferrin receptor-1: TfR-1) in cells can improve disease outcome, we investigated the efficacy of a complex vitamin supplement (CVS) containing B-vitamins and ascorbic acid in preventing/reversing behavioral decline and neuropathology in rats. Wistar rats (eight weeks-old) were assigned into five groups (n = 8), including controls and those administered CVS (400 mg/kg/day) for two weeks before or after AlCl3 (100 mg/kg)-induced neurotoxicity. Following behavioral assessments, prefrontal cortex (PFC) and hippocampus were prepared for biochemical analyses, histology and histochemistry. CVS significantly reversed reduction of exploratory/working memory, frontal-dependent motor deficits, cognitive decline, memory dysfunction and anxiety. These correlated with CVS-dependent modulation of TfP-1 expression that were accompanied by significant reversal of neural oxidative stress in expressed superoxide dismutase, nitric oxide, catalase, glutathione peroxidase and malondialdehyde. Furthermore, CVS inhibited neural bioenergetics dysfunction, with increased labelling of glucokinase within PFC and hippocampus correlating with increased glucose-6-phosphate dehydrogenase and decreased lactate dehydrogenase expressions. These relates to inhibition of over-expressed acetylcholinesterase and increased total protein synthesis. Histological and Nissl staining of thin sections corroborated roles of CVS in reversing AlCl3-induced neuropathology. Summarily, we showed the role of CVS in normalizing important neurochemical molecules linking concurrent progression of oxidative stress, bioenergetics deficits, synaptic dysfunction and cellular hypertrophy during neurodegeneration.          "
vitamin B,"Comparison of myo-inositol and metformin on mental health parameters and biomarkers of oxidative stress in women with polycystic ovary syndrome: a randomized, double-blind, placebo-controlled trial - PubMed","        Introduction:                    Data on comparison of myo-inositol and metformin on mental health parameters and biomarkers of oxidative stress in subjects with polycystic ovary syndrome (PCOS) are scarce. This purpose of this study was to compare of myo-inositol and metformin on mental health parameters and biomarkers of oxidative stress in subjects with PCOS.                  Methods:                    This randomized controlled trial was conducted among 60 subjects diagnosed with PCOS according to the Rotterdam criteria. Subjects were randomly assigned into two groups to intake either myo-inositol (n = 30) or metformin (n = 30) for 12 weeks. Parameters of mental health were recorded at baseline and after the 12-week intervention. Fasting blood samples were obtained at baseline and the end of the study to determine biomarkers of biomarkers of oxidative stress.                  Results:                    After the 12-week intervention, changes in beck depression inventory total score (-1.0 ± 1.7 vs. -0.3 ± 0.7, p = 0.03), general health questionnaire scores (-1.7 ± 2.9 vs. -0.5 ± 1.2, p = 0.02), depression anxiety and stress scale scores (-3.9 ± 6.4 vs. -0.9 ± 1.9, p = 0.01) and plasma total antioxidant capacity (TAC) concentrations (+106.1 ± 69.6 vs. +2.1 ± 132.4 mmol/L, p < 0.001) in the myo-inositol group were significantly different from the changes in these indicators in the metformin group. Myo-inositol supplementation for 12 weeks among patients with PCOS did not affect plasma glutathione and malondialdehyde levels.                  Conclusions:                    Overall, our data supported that myo-inositol supplementation for 12 weeks among patients with PCOS had favorable effects on parameters of mental health and plasma TAC levels.          "
vitamin B,A systematic review of the associations between maternal nutritional biomarkers and depression and/or anxiety during pregnancy and postpartum - PubMed,"        Background:                    Nutritional requirements need to be met in order to adapt to pre- and postnatal changes. Our aim was to systematically review the evidence of associations between nutritional biomarkers and psychological distress during pregnancy and in the first postnatal year.                  Methods:                    MEDLINE, EMBASE, PsycINFO, Scielo, LILACS, clinicaltrials.gov, International Clinical Trials Registry, Cochrane Library, Scopus and Web of Science databases were searched for articles from inception to 4/15/2016. Studies of maternal nutritional biomarkers in blood (fatty acids/micronutrients/amino acids) and associations with psychological distress (depression/anxiety/stress) were included. Two independent reviewers extracted data based on study designs, participants, outcomes, exposures, and association measures.                  Results:                    Thirty-eight studies were included. A total of 13 studies showed divergent or no associations between serum/plasma/erythrocyte fatty acid concentrations and depression/anxiety during pregnancy and postpartum. Changes in serum cholesterol levels from pregnancy to postpartum showed a significant inverse correlation with depression in one out of three studies. Five out of seven studies found an inverse association between serum vitamin D levels and pre- and postnatal depression. Plasma tryptophan levels were inversely correlated with postnatal depression scores in three out of four studies. We identified that one out of two studies presented no significant association between vitamin B12/folate/ferritin concentrations and depression in postpartum.                  Limitations:                    There was higher variability between association measures, time and scales of depression and anxiety assessments.                  Conclusions:                    The majority of high-quality studies suggest that lower vitamin D levels may be associated with postpartum depression. However, further evidence is needed for guiding clinical practice on nutritional biomarkers.          "
vitamin B,The effect of methylated vitamin B complex on depressive and anxiety symptoms and quality of life in adults with depression - PubMed,"              Depression, the most common type of mental illness, is the second leading cause of disability and is increasing among Americans. The effect of improved nutrition, particularly with dietary supplements, on depression may provide an alternative to standard medical treatment. Some studies have shown that certain nutrients (e.g., inositol and S-adenosyl methionine) are effective at improving depressed mood, although the results are not unequivocal. The current study was a randomized, double-blind, placebo-controlled trial to evaluate the efficacy of a vitamin B complex nutritional supplement (Max Stress B) for improving depressive and anxiety symptoms according to the Beck Depression and Anxiety Inventories (BDI and BAI) in 60 adults diagnosed with major depression or other forms of depressive disorders. Secondary outcomes included quality of life according to the SF-36. Participants were assessed at baseline and 30- and 60-day followups. Max Stress B showed significant and more continuous improvements in depressive and anxiety symptoms, compared to placebo. Additionally, Max Stress B showed significant improvement on the mental health scale of the SF-36 compared to placebo. Thus, we showed modest utility of Max Stress B to improve mood symptoms and mental health quality of life in adults with depression.          "
vitamin B,Thiamine and benfotiamine improve cognition and ameliorate GSK-3β-associated stress-induced behaviours in mice - PubMed,"              Thiamine (vitamin B1) deficiency in the brain has been implicated in the development of dementia and symptoms of depression. Indirect evidence suggests that thiamine may contribute to these pathologies by controlling the activities of glycogen synthase kinase (GSK)-3β. While decreased GSK-3β activity appears to impair memory, increased GSK-3β activity is associated with the distressed/depressed state. However, hitherto direct evidence for the effects of thiamine on GSK-3β function has not been reported. Here, we administered thiamine or, the more bioavailable precursor, benfotiamine at 200mg/kg/day for 2weeks to C57BL/6J mice, to determine whether treatment might affect behaviours that are known to be sensitive to GSK-3β activity and whether such administration impacts on GSK-3β expression within the brain. The mice were tested in models of contextual conditioning and extinction, a 5-day rat exposure stress test, and a modified swim test with repeated testing. The tricyclic antidepressant imipramine (7.5mg/kg/day), was administered as a positive control for the effects of thiamine or benfotiamine. As for imipramine, both compounds inhibited the upregulation of GSK-3β induced by predator stress or repeated swimming, and reduced floating scores and the predator stress-induced behavioural changes in anxiety and exploration. Coincident, thiamine and benfotiamine improved learning and extinction of contextual fear, and the acquisition of the step-down avoidance task. Our data indicate that thiamine and benfotiamine have antidepressant/anti-stress effects in naïve animals that are associated with reduced GSK-3β expression and conditioning of adverse memories. Thus thiamine and benfotiamine may modulate GSK-3β functions in a manner that is dependent on whether the contextual conditioning is adaptive or maladaptive.          "
vitamin B,"Metabolic, idiosyncratic toxicity of drugs: overview of the hepatic toxicity induced by the anxiolytic, panadiplon - PubMed","              Preclinical drug safety evaluation studies, typically conducted in two or more animal species, reveal and define dose-dependent toxicities and undesirable effects related to pharmacological mechanism of action. Idiosyncratic toxic responses are often not detected during this phase in development due to their relative rarity in incidence and differences in species sensitivity. This paper reviews and discusses the metabolic idiosyncratic toxicity and species differences observed for the experimental non-benzodiazepine anxiolytic, panadiplon. This compound produced evidence of hepatic toxicity in Phase 1 clinical trial volunteers that was not predicted by rat, dog or monkey preclinical studies. However, subsequent studies in Dutch-belted rabbits revealed a hepatic toxic syndrome consistent with a Reye's Syndrome-like idiosyncratic response. Investigations into the mechanism of toxicity using rabbits and cultured hepatocytes from several species, including human, provided a sketch of the complex pathway required to produce hepatic injury. This pathway includes drug metabolism to a carboxylic acid metabolite (cyclopropane carboxylic acid), inhibition of mitochondrial fatty acid beta-oxidation, and effects on intermediary metabolism including depletion of glycogen and disruption of glucose homeostasis. We also provide evidence suggesting that the carboxylic acid metabolite decreases the availability of liver CoA and carnitine secondary to the formation of unusual acyl derivatives. Hepatic toxicity could be ameliorated by administration of carnitine, and to a lesser extent by pantothenate. These hepatocellular pathway defects, though not directly resulting in cell death, rendered hepatocytes sensitive to secondary stress, which subsequently produced apoptosis and hepatocellular necrosis. Not all rabbits showed evidence of hepatic toxicity, suggesting that individual or species differences in any step along this pathway may account for idiosyncratic responses. These differences may be roughly applied to other metabolic idiosyncratic hepatotoxic responses and include variations in drug metabolism, effects on mitochondrial function, nutritional status, and health or underlying disease.          "
